Player ID,Full Name,First Name,Last Name,Position,Games Played (Avg),Points Per Game (Avg),Rebounds Per Game (Avg),Assists Per Game (Avg),Steals Per Game (Avg),Blocks Per Game (Avg),Field Goal % (Avg),Free Throw % (Avg),Three Point % (Avg),Rating,Dollar Value
1630702,Jaden Hardy,Jaden,Hardy,jaden_hardy,59.333333333333336,8.123595505617978,1.7359550561797752,1.4325842696629212,0.3764044943820224,0.0898876404494382,0.4266666666666667,0.7656666666666666,0.384,36.74,1
202699,Tobias Harris,Tobias,Harris,tobias_harris,72.33333333333333,15.16589861751152,6.032258064516129,2.6036866359447006,0.9769585253456222,0.6589861751152074,0.4883333333333333,0.8716666666666666,0.3623333333333333,61.06,3
203914,Gary Harris,Gary,Harris,gary_harris,50.0,6.093333333333334,1.6866666666666663,1.1733333333333331,0.8,0.2533333333333333,0.4246666666666667,0.7463333333333333,0.3859999999999999,35.27,1
1628404,Josh Hart,Josh,Hart,josh_hart,69.66666666666667,11.0,8.751196172248802,4.708133971291866,1.186602870813397,0.2822966507177033,0.4876666666666667,0.766,0.3156666666666667,60.23,3
1628392,Isaiah Hartenstein,Isaiah,Hartenstein,isaiah_hartenstein,71.33333333333333,7.593457943925234,8.285046728971963,2.378504672897196,0.8738317757009346,0.985981308411215,0.5866666666666668,0.686,0.183,51.55,3
1630573,Sam Hauser,Sam,Hauser,sam_hauser,76.66666666666667,7.952173913043477,3.060869565217391,0.9434782608695652,0.4782608695652173,0.2565217391304348,0.4506666666666667,0.867,0.4193333333333333,40.08,1
1641722,Jordan Hawkins,Jordan,Hawkins,jordan_hawkins,61.5,9.170731707317072,2.4878048780487805,1.1056910569105691,0.3983739837398374,0.2439024390243902,0.377,0.827,0.3485,38.41,1
1629637,Jaxson Hayes,Jaxson,Hayes,jaxson_hayes,57.66666666666666,5.312138728323699,3.5375722543352603,0.7225433526011561,0.4913294797687861,0.5722543352601156,0.6643333333333333,0.6476666666666667,0.0343333333333333,34.91,1
1630165,Killian Hayes,Killian,Hayes,killian_hayes,41.333333333333336,9.104838709677418,2.887096774193548,5.693548387096774,1.161290322580645,0.4193548387096774,0.403,0.7713333333333333,0.3193333333333333,49.79,2
1630703,Scoot Henderson,Scoot,Henderson,scoot_henderson,64.0,13.3203125,3.0625,5.2421875,0.90625,0.203125,0.402,0.7929999999999999,0.3395,54.2,3
1641707,Taylor Hendricks,Taylor,Hendricks,taylor_hendricks,21.5,7.116279069767442,4.651162790697675,0.7906976744186046,0.7674418604651163,0.7906976744186046,0.336,0.7715000000000001,0.3145,39.68,1
1629639,Tyler Herro,Tyler,Herro,tyler_herro,62.0,21.83870967741936,5.274193548387097,4.795698924731182,0.8064516129032258,0.1935483870967742,0.4506666666666667,0.8893333333333334,0.383,70.95,4
1627741,Buddy Hield,Buddy,Hield,buddy_hield,55.333333333333336,11.596385542168674,3.2108433734939754,2.228915662650602,0.8373493975903614,0.3915662650602409,0.4286666666666667,0.8663333333333334,0.381,48.77,2
1629312,Haywood Highsmith,Haywood,Highsmith,haywood_highsmith,64.66666666666667,5.768041237113402,3.3505154639175254,1.1597938144329896,0.8092783505154639,0.4329896907216494,0.4513333333333333,0.608,0.3723333333333333,37.23,1
1628988,Aaron Holiday,Aaron,Holiday,aaron_holiday,67.66666666666667,5.423645320197044,1.354679802955665,1.5369458128078817,0.4827586206896551,0.1428571428571428,0.4336666666666666,0.8646666666666666,0.3979999999999999,33.89,1
201950,Jrue Holiday,Jrue,Holiday,jrue_holiday,66.0,14.323232323232324,4.944444444444444,5.388888888888889,1.0404040404040404,0.5303030303030303,0.4673333333333334,0.867,0.3886666666666666,62.66,3
1641842,Ronald Holland II,Ronald,Holland II,ronald_holland_ii,81.0,6.444444444444445,2.691358024691358,1.0123456790123455,0.6049382716049383,0.2098765432098765,0.474,0.754,0.238,34.93,1
1626158,Richaun Holmes,Richaun,Holmes,richaun_holmes,23.666666666666668,6.04225352112676,5.056338028169014,0.9436619718309858,0.2816901408450704,0.5915492957746479,0.5876666666666667,0.75,0.111,38.06,1
1631096,Chet Holmgren,Chet,Holmgren,chet_holmgren,57.0,16.105263157894736,7.93859649122807,2.307017543859649,0.6666666666666666,2.289473684210526,0.51,0.7735000000000001,0.3745,69.51,4
1641720,Jalen Hood-Schifino,Jalen,Hood-Schifino,jalen_hood,10.0,7.066666666666667,1.8,2.466666666666667,0.3333333333333333,0.4666666666666667,0.5830000000000001,0.8996666666666666,0.2026666666666666,39.44,1
201143,Al Horford,Al,Horford,al_horford,62.66666666666666,9.127659574468083,6.23404255319149,2.579787234042553,0.5531914893617021,0.9255319148936172,0.47,0.8253333333333334,0.4093333333333333,51.74,3
1629659,Talen Horton-Tucker,Talen,Horton-Tucker,talen_horton,58.0,9.155172413793103,2.4770114942528734,2.908045977011494,0.6149425287356322,0.339080459770115,0.424,0.7639999999999999,0.3173333333333333,42.61,2
1631216,Caleb Houstan,Caleb,Houstan,caleb_houstan,56.0,4.0773809523809526,1.5357142857142858,0.5595238095238095,0.2916666666666666,0.1011904761904761,0.3906666666666666,0.8409999999999999,0.3703333333333333,28.3,1
1628989,Kevin Huerter,Kevin,Huerter,kevin_huerter,46.0,9.869565217391305,2.971014492753623,2.260869565217391,0.9565217391304348,0.3333333333333333,0.4256666666666666,0.714,0.3386666666666666,44.55,2
1630643,Jay Huff,Jay,Huff,jay_huff,30.33333333333333,5.637362637362638,1.7692307692307692,0.5494505494505495,0.2307692307692307,0.6923076923076923,0.5716666666666667,0.908,0.4126666666666667,37.28,1
1629631,De'Andre Hunter,De'Andre,Hunter,deandre_hunter,42.66666666666666,17.000000000000004,4.03125,1.4375000000000002,0.7812500000000001,0.203125,0.472,0.8416666666666667,0.408,56.76,3
1630538,Bones Hyland,Bones,Hyland,nahshon_hyland,16.0,6.208333333333333,1.0416666666666667,1.3333333333333333,0.75,0.1666666666666666,0.4853333333333333,0.59,0.426,35.01,1
1642345,Oso Ighodaro,Oso,Ighodaro,oso_ighodaro,61.0,4.180327868852459,3.639344262295082,1.1639344262295082,0.4590163934426229,0.4754098360655737,0.604,0.58,0.0,31.6,1
204060,Joe Ingles,Joe,Ingles,joe_ingles,44.333333333333336,4.7218045112781954,2.112781954887218,2.827067669172932,0.5864661654135338,0.0827067669172932,0.3773333333333333,0.5603333333333333,0.348,32.59,1
1627742,Brandon Ingram,Brandon,Ingram,brandon_ingram,42.333333333333336,22.39370078740157,5.275590551181102,5.653543307086614,0.7716535433070865,0.5511811023622046,0.4803333333333333,0.8460000000000001,0.373,74.56,4
